OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,OFFER_clean,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,IS_CHILD_CATEGORY_TO_compli,training_str
Emmy's Organics® Cookies OR Brownie Snaps,,EMMYS POP UP,COOKIES,,COOKIES,SNACKS,,"  EMMYS POP UP   COOKIES, COOKIES"
Egglife Egg White Wraps at Aldi,ALDI,EGGLIFE,EGGS,,EGGS,DAIRY,DAIRY,"  EGGLIFE ALDI EGGS, DAIRY"
Spend $10 at Subway,SUBWAY,SUBWAY,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SUBWAY SUBWAY COOKING & BAKING, COOKING & BAKING"
Spend $25 at Subway,SUBWAY,SUBWAY,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SUBWAY SUBWAY COOKING & BAKING, COOKING & BAKING"
Spend $15 at Subway,SUBWAY,SUBWAY,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SUBWAY SUBWAY COOKING & BAKING, COOKING & BAKING"
Spend $35 at Subway,SUBWAY,SUBWAY,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SUBWAY SUBWAY COOKING & BAKING, COOKING & BAKING"
"DOVE® Chocolate, select sizes, buy 1",,DOVE CHOCOLATE,CANDY,,CANDY,SNACKS,,"  DOVE CHOCOLATE   CANDY, CANDY"
"DOVE® chocolate, select varieties",,DOVE CHOCOLATE,CANDY,,CANDY,SNACKS,,"  DOVE CHOCOLATE   CANDY, CANDY"
"M&M'S®, select sizes, buy 1",,M&MS,CANDY,,CANDY,SNACKS,,"  M MS   CANDY, CANDY"
"M&M'S® chocolate candies, select varieties",,M&MS,CANDY,,CANDY,SNACKS,,"  M MS   CANDY, CANDY"
Gillette Venus ® for Pubic Hair & Skin spend $20,,GILLETTE VENUS,HAIR REMOVAL,,HAIR REMOVAL,HEALTH & WELLNESS,,"  GILLETTE VENUS   HAIR REMOVAL, HAIR REMOVAL"
Gillette Venus ® for Pubic Hair & Skin,,GILLETTE VENUS,HAIR REMOVAL,,HAIR REMOVAL,HEALTH & WELLNESS,,"  GILLETTE VENUS   HAIR REMOVAL, HAIR REMOVAL"
"Gillette Venus ® for Pubic Hair & Skin, spend $20",,GILLETTE VENUS,HAIR REMOVAL,,HAIR REMOVAL,HEALTH & WELLNESS,,"  GILLETTE VENUS   HAIR REMOVAL, HAIR REMOVAL"
Spend $140 at Shaws,SHAWS,SHAWS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SHAWS SHAWS COOKING & BAKING, COOKING & BAKING"
Spend $185 at Shaws,SHAWS,SHAWS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SHAWS SHAWS COOKING & BAKING, COOKING & BAKING"
Shop 2 times at Shaw's,SHAWS,SHAWS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SHAWS SHAWS COOKING & BAKING, COOKING & BAKING"
Any Shaw's receipt,SHAWS,SHAWS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SHAWS SHAWS COOKING & BAKING, COOKING & BAKING"
Spend $300 at Shaws,SHAWS,SHAWS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  SHAWS SHAWS COOKING & BAKING, COOKING & BAKING"
"L'Oréal Paris Hair color, select varieties, spend $19 at Target",TARGET,LOREAL PARIS HAIR COLOR,HAIR CARE,,HAIR CARE,HEALTH & WELLNESS,,"  LOREAL PARIS HAIR COLOR TARGET HAIR CARE, HAIR CARE"
"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,HAIR CARE,,HAIR CARE,HEALTH & WELLNESS,,"  LOREAL PARIS HAIR COLOR WALMART HAIR CARE, HAIR CARE"
"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,HAIR CARE,,HAIR CARE,HEALTH & WELLNESS,,"  LOREAL PARIS HAIR COLOR WALMART HAIR CARE, HAIR CARE"
L'Oréal Paris Excellence Hair Color at Target,TARGET,LOREAL PARIS HAIR COLOR,HAIR CARE,,HAIR CARE,HEALTH & WELLNESS,,"  LOREAL PARIS HAIR COLOR TARGET HAIR CARE, HAIR CARE"
"L'Oréal Paris Hair color, select varieties, spend $25 at Target",TARGET,LOREAL PARIS HAIR COLOR,HAIR CARE,,HAIR CARE,HEALTH & WELLNESS,,"  LOREAL PARIS HAIR COLOR TARGET HAIR CARE, HAIR CARE"
"L'Oréal Paris Hair color, select varieties, spend $9 at Target",TARGET,LOREAL PARIS HAIR COLOR,HAIR CARE,,HAIR CARE,HEALTH & WELLNESS,,"  LOREAL PARIS HAIR COLOR TARGET HAIR CARE, HAIR CARE"
Shop 2 times at ACME,ACME,ACME,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ACME ACME MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
Spend $90 at ACME,ACME,ACME,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ACME ACME MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
Spend $250 at ACME,ACME,ACME,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ACME ACME MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
Any ACME receipt,ACME,ACME,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ACME ACME MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
Spend $130 at ACME,ACME,ACME,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ACME ACME MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Flonase Allergy Relief, at Walmart",WALMART,FLONASE,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  FLONASE WALMART MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Cooked Perfect® Meatballs, at Walmart",WALMART,COOKED PERFECT,FROZEN CHICKEN,,FROZEN CHICKEN,FROZEN MEAT,,"  COOKED PERFECT WALMART FROZEN CHICKEN, FROZEN CHICKEN"
"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",WALMART,COOKED PERFECT,FROZEN CHICKEN,,FROZEN CHICKEN,FROZEN MEAT,,"  COOKED PERFECT WALMART FROZEN CHICKEN, FROZEN CHICKEN"
"L'Oréal Paris Makeup, spend $35 at Target",TARGET,LOREAL PARIS COSMETICS,MAKEUP,,MAKEUP,BEAUTY,,"  LOREAL PARIS COSMETICS TARGET MAKEUP, MAKEUP"
"L'Oréal Paris Makeup, spend $30 at Target",TARGET,LOREAL PARIS COSMETICS,MAKEUP,,MAKEUP,BEAUTY,,"  LOREAL PARIS COSMETICS TARGET MAKEUP, MAKEUP"
L'Oreal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,MAKEUP,,MAKEUP,BEAUTY,,"  LOREAL PARIS COSMETICS TARGET MAKEUP, MAKEUP"
L'Oréal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,MAKEUP,,MAKEUP,BEAUTY,,"  LOREAL PARIS COSMETICS TARGET MAKEUP, MAKEUP"
Any Vons receipt,VONS,VONS,SPIRITS,,SPIRITS,ALCOHOL,,"  VONS VONS SPIRITS, SPIRITS"
Spend $150 at Vons,VONS,VONS,SPIRITS,,SPIRITS,ALCOHOL,,"  VONS VONS SPIRITS, SPIRITS"
Spend $100 at Vons,VONS,VONS,SPIRITS,,SPIRITS,ALCOHOL,,"  VONS VONS SPIRITS, SPIRITS"
Spend $275 at Vons,VONS,VONS,SPIRITS,,SPIRITS,ALCOHOL,,"  VONS VONS SPIRITS, SPIRITS"
Shop 2 times at Vons,VONS,VONS,SPIRITS,,SPIRITS,ALCOHOL,,"  VONS VONS SPIRITS, SPIRITS"
"Wine from TheBarrelRoom.com, spend $30",GALLO.COM,ALAMOS,WINE,,WINE,ALCOHOL,,"  ALAMOS GALLO.COM WINE, WINE"
"PepsiCo® Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront*",AMAZON,PEPSI,CARBONATED SOFT DRINKS,,CARBONATED SOFT DRINKS,BEVERAGES,,"  PEPSI AMAZON CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
"PepsiCo® Variety Pack, select varieties, at Amazon Storefront*",AMAZON,PEPSI,CARBONATED SOFT DRINKS,,CARBONATED SOFT DRINKS,BEVERAGES,,"  PEPSI AMAZON CARBONATED SOFT DRINKS, CARBONATED SOFT DRINKS"
Any Albertsons receipt,ALBERTSONS,ALBERTSONS,CANDY,,CANDY,SNACKS,,"  ALBERTSONS ALBERTSONS CANDY, CANDY"
Shop 2 times at Albertsons,ALBERTSONS,ALBERTSONS,CANDY,,CANDY,SNACKS,,"  ALBERTSONS ALBERTSONS CANDY, CANDY"
Spend $65 at Albertsons,ALBERTSONS,ALBERTSONS,CANDY,,CANDY,SNACKS,,"  ALBERTSONS ALBERTSONS CANDY, CANDY"
Spend $110 at Albertsons,ALBERTSONS,ALBERTSONS,CANDY,,CANDY,SNACKS,,"  ALBERTSONS ALBERTSONS CANDY, CANDY"
Spend $220 at Albertsons,ALBERTSONS,ALBERTSONS,CANDY,,CANDY,SNACKS,,"  ALBERTSONS ALBERTSONS CANDY, CANDY"
"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",TARGET,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS TARGET PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Soils, select varieties and sizes, at Walmart",WALMART,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS WALMART PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
